fighter_name_a,fighter_name_b,result,weight_class,event_date_a,sign_str_successful_a,sign_str_attempts_a,total_str_successful_a,total_str_attempts_a,td_successful_a,td_attempts_a,head_str_successful_a,head_str_attempts_a,body_str_successful_a,body_str_attempts_a,leg_str_successful_a,leg_str_attempts_a,distance_successful_a,distance_attempts_a,clinch_successful_a,clinch_attempts_a,ground_successful_a,ground_attempts_a,kd_a,ctrl_time_sec_a,sub_att_a,event_date_b,sign_str_successful_b,sign_str_attempts_b,total_str_successful_b,total_str_attempts_b,td_successful_b,td_attempts_b,head_str_successful_b,head_str_attempts_b,body_str_successful_b,body_str_attempts_b,leg_str_successful_b,leg_str_attempts_b,distance_successful_b,distance_attempts_b,clinch_successful_b,clinch_attempts_b,ground_successful_b,ground_attempts_b,kd_b,ctrl_time_sec_b,sub_att_b,height_a,reach_a,height_b,reach_b,age_a,age_b,Wins_a,Losses_a,Win %_a,Win Streak_a,win_by_DEC_a,win_by_KOTKO_a,win_by_SUB_a,win_by_Other_a,loss_by_DEC_a,loss_by_DIS_a,loss_by_Other_a,loss_by_SUB_a,loss_by_KOTKO_a,Wins_b,Losses_b,Win %_b,Win Streak_b,win_by_DEC_b,win_by_KOTKO_b,win_by_SUB_b,win_by_Other_b,loss_by_DEC_b,loss_by_DIS_b,loss_by_Other_b,loss_by_SUB_b,loss_by_KOTKO_b
Igor Vovchanchyn,Francisco Bueno,a,,1999-11-21,10.6,24.6,45.2,61.0,0.0,0.2,4.8,16.2,1.0,1.4,4.8,7.0,9.4,22.2,1.2,2.2,0.0,0.2,0.0,,0.0,1999-11-21,17.0,48.0,17.0,48.0,0.0,0.0,11.0,39.0,0.0,0.0,6.0,9.0,11.0,34.0,5.0,12.0,1.0,2.0,1.0,,0.0,172.72,,175.26,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hominick,,a,Lightweight,2006-06-28,14.0,47.0,18.0,51.0,0.0,0.0,10.0,43.0,2.0,2.0,2.0,2.0,9.0,41.0,5.0,6.0,0.0,0.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,172.72,172.72,,,23.0,,10.0,5.0,0.6666666666666666,0.0,0.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,
Mickey Gall,CM Punk,a,Welterweight,2016-09-10,2.0,4.0,3.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,14.0,1.0,2016-09-10,,,,,,,,,,,,,,,,,,,,,,187.96,187.96,185.42,185.42,24.0,37.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Ortiz,Jussier Formiga,b,,2016-09-24,15.43,33.79,28.86,48.86,0.86,2.86,8.43,25.36,5.57,6.71,1.43,1.71,6.21,22.07,4.36,5.79,4.86,5.93,0.0,115.64,0.07,2016-09-24,6.82,19.55,14.09,28.09,0.82,1.55,5.09,16.82,1.27,2.18,0.45,0.55,4.45,16.45,1.27,1.73,1.09,1.36,0.09,73.36,0.09,165.1,165.1,165.1,170.18,27.0,31.0,15.0,5.0,0.75,0.0,10.0,12.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,18.0,4.0,0.8181818181818182,0.0,20.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,4.0
Ian McCall,Brad Pickett,a,Flyweight,2014-07-19,18.23,47.46,29.69,59.85,0.54,2.08,7.92,30.77,4.54,7.69,5.77,9.0,12.46,38.0,3.08,5.46,2.69,4.0,0.0,60.0,0.0,2014-07-19,16.24,52.41,22.94,59.94,1.12,2.12,11.35,44.47,2.41,4.82,2.47,3.12,11.59,44.24,2.35,3.71,2.29,4.47,0.06,80.06,0.24,165.1,162.56,167.64,172.72,30.0,35.0,,,,,,,,,,,,,,24.0,8.0,0.75,0.0,7.0,7.0,10.0,0.0,3.0,0.0,0.0,4.0,1.0
Jesse Taylor,Luke Rockhold,b,,2009-11-06,3.0,8.5,15.5,24.0,1.0,2.5,2.0,7.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,2.0,1.0,5.0,0.0,139.0,0.5,2009-11-06,18.5,21.5,34.0,37.0,0.0,0.0,11.5,14.5,7.0,7.0,0.0,0.0,0.5,1.0,0.0,0.0,18.0,20.5,0.5,172.0,1.0,182.88,185.42,190.5,195.58,26.0,25.0,13.0,4.0,0.7647058823529411,0.0,3.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,0.8333333333333334,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
John Dodson,Merab Dvalishvili,b,Bantamweight,2020-08-15,15.06,35.82,17.12,37.97,0.21,0.79,8.12,27.24,4.7,6.03,2.24,2.55,12.85,32.64,1.94,2.82,0.27,0.36,0.21,12.64,0.0,2020-08-15,19.0,49.83,45.58,79.75,3.0,6.17,12.42,41.0,3.17,4.83,3.42,4.0,10.58,36.33,2.75,4.92,5.67,8.58,0.08,147.5,0.17,160.02,167.64,167.64,172.72,35.0,29.0,,,,,,,,,,,,,,11.0,4.0,0.7333333333333333,0.0,16.0,4.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0
Yan Cabral,Zak Cummings,b,Welterweight,2014-05-10,12.0,21.67,34.67,48.0,1.67,2.33,11.0,20.33,0.33,0.33,0.67,1.0,2.33,6.67,1.33,3.0,8.33,12.0,0.33,243.0,0.33,2014-05-10,3.5,6.5,7.0,10.5,1.0,1.5,2.0,5.0,0.0,0.0,1.5,1.5,2.0,3.5,1.0,2.5,0.5,0.5,0.0,180.0,0.5,180.34,185.42,182.88,190.5,31.0,29.0,11.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.8421052631578947,0.0,6.0,8.0,18.0,0.0,4.0,0.0,0.0,2.0,0.0
Nick Diaz,KJ Noons,b,Lightweight,2007-11-10,19.1,45.1,54.4,83.25,0.55,1.5,14.1,38.6,3.95,5.15,1.05,1.35,10.75,31.3,6.15,9.5,2.2,4.3,0.15,65.44,0.3,2007-11-10,17.0,38.67,20.67,43.0,0.0,0.0,11.0,30.0,3.33,5.67,2.67,3.0,15.0,33.67,1.33,3.67,0.67,1.33,0.0,,0.0,185.42,193.04,177.8,177.8,24.0,24.0,15.0,6.0,0.7142857142857143,0.0,3.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,5.0,2.0,0.7142857142857143,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Charles Rosa,Kyle Bochniak,a,Featherweight,2016-01-17,12.0,34.83,14.5,38.17,1.33,3.67,8.33,28.17,1.83,3.83,1.83,2.83,10.17,31.5,0.67,1.33,1.17,2.0,0.0,84.67,0.33,2016-01-17,,,,,,,,,,,,,,,,,,,,,,175.26,175.26,170.18,177.8,29.0,28.0,10.0,2.0,0.8333333333333334,0.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
